Date,AZO,BKNG,CMG,NVR,ORLY
2001-04-20,216200,506533,,92000,175000
2001-04-23,494400,283533,,64400,125800
2001-04-24,266400,144517,,105700,150400
2001-04-25,284100,316650,,100800,261600
2001-04-26,337900,241717,,74500,453600
2001-04-27,398900,445767,,59900,587800
2001-04-30,626900,625967,,157400,890400
2001-05-01,365900,3198300,,72300,328000
2001-05-02,401300,4128800,,119800,308800
2001-05-03,410400,1831433,,48700,293200
2001-05-04,560700,1088067,,90600,120000
2001-05-07,356100,948350,,102100,326400
2001-05-08,298900,1314450,,81800,180600
2001-05-09,378800,908017,,44200,106800
2001-05-10,513000,526067,,75100,118800
2001-05-11,235200,299033,,51800,79000
2001-05-14,382000,1201933,,54700,75800
2001-05-15,222800,1102150,,87100,75200
2001-05-16,385700,1188750,,91900,292400
2001-05-17,594700,899533,,54900,512400
2001-05-18,250500,257083,,26400,2104000
2001-05-21,706800,1480800,,81100,1341400
2001-05-22,576000,861433,,103200,510800
2001-05-23,368600,601650,,64200,362400
2001-05-24,729900,638300,,62100,313800
2001-05-25,351400,398867,,92000,197400
2001-05-29,887000,239183,,248000,209200
2001-05-30,589400,343933,,142600,440000
2001-05-31,646600,653517,,44600,556800
2001-06-01,558000,505867,,69100,347600
2001-06-04,487800,353550,,83900,887600
2001-06-05,307200,396333,,81500,659200
2001-06-06,312600,5239117,,264000,824200
2001-06-07,488600,4336700,,182900,618800
2001-06-08,314100,2103950,,74800,745400
2001-06-11,253600,1103533,,48000,262400
2001-06-12,974900,806200,,63100,305600
2001-06-13,1533900,1469833,,67600,1294600
2001-06-14,2282900,965867,,32000,608000
2001-06-15,1291700,1439217,,48600,852200
2001-06-18,1394400,827233,,53100,1128000
2001-06-19,936100,912867,,46400,898800
2001-06-20,653800,1012067,,120400,1276600
2001-06-21,786300,525217,,98600,2397000
2001-06-22,723500,947900,,131200,1434600
2001-06-25,607100,678450,,66000,919800
2001-06-26,444500,619283,,56700,946400
2001-06-27,611500,430667,,67800,452800
2001-06-28,694200,557767,,32600,1367600
2001-06-29,1374500,1380817,,134000,478600
2001-07-02,647600,2060033,,104900,743600
2001-07-03,237600,578650,,57500,507600
2001-07-05,285600,1528933,,57700,408400
2001-07-06,513500,1536183,,55600,435400
2001-07-09,456500,2062700,,64800,299200
2001-07-10,519500,977767,,94100,277800
2001-07-11,2332200,458667,,44900,179200
2001-07-12,1994300,651250,,34300,5682400
2001-07-13,1033900,826650,,58900,634000
2001-07-16,713500,1527350,,38800,1316600
2001-07-17,1602000,834817,,50000,607200
2001-07-18,2089400,619283,,56000,714600
2001-07-19,1563700,800733,,69800,1513000
2001-07-20,1403900,493300,,124900,1016800
2001-07-23,1093100,332817,,71300,1453200
2001-07-24,1198300,474183,,87900,1405600
2001-07-25,940000,483817,,93400,1098200
2001-07-26,721600,297900,,43200,1102000
2001-07-27,385300,258917,,54800,1370200
2001-07-30,1332300,822967,,66400,1058000
2001-07-31,1213500,2224583,,79500,1636800
2001-08-01,848100,5628617,,90100,420600
2001-08-02,518300,2012133,,39300,501400
2001-08-03,630300,766633,,48300,753600
2001-08-06,689400,396117,,55800,759800
2001-08-07,705200,398733,,126400,327200
2001-08-08,971200,395633,,90400,594000
2001-08-09,1437700,527500,,43000,1019400
2001-08-10,635800,445400,,27800,712200
2001-08-13,755900,467533,,146600,173000
2001-08-14,753900,441950,,66700,475200
2001-08-15,410000,472467,,47300,918800
2001-08-16,1271200,2534033,,43300,1395600
2001-08-17,664700,638433,,42700,420600
2001-08-20,1190800,328150,,79300,428600
2001-08-21,862000,345433,,65200,410800
2001-08-22,1579600,730000,,34400,856600
2001-08-23,1177500,519267,,79300,698800
2001-08-24,1360000,689867,,48200,854400
2001-08-27,1117900,396433,,50800,286400
2001-08-28,795100,355000,,26800,290600
